id,start_time,lng,lat,is_urgent,engagement_time,frcs_demand
0,7,103.83535,1.432885025,0,58,1
1,20,103.8260684,1.40699876,0,41,1
2,20,103.9095594,1.395697479,0,22,1
3,20,103.9065236,1.390529012,0,33,1
4,31,103.8532547,1.432694985,1,27,1
5,33,103.8326406,1.458927979,0,25,1
6,35,103.8347104,1.370459068,0,47,1
7,36,103.9037009,1.406158377,0,9,1
8,37,103.8421343,1.399957169,0,28,1
9,42,103.834815,1.380863417,0,32,1
10,54,103.8475064,1.453565083,0,88,1
11,59,103.8084343,1.427966681,0,55,1
12,60,103.8885208,1.380313671,1,35,1
13,69,103.8913468,1.364683135,0,156,1
14,78,103.9033827,1.37496126,1,97,1
15,80,103.8199455,1.386218691,0,81,1
16,86,103.8674809,1.364924851,0,28,1
17,91,103.8027934,1.459250168,0,11,1
18,103,103.8855904,1.385544453,0,12,1
19,107,103.8495787,1.36510601,1,48,1
20,120,103.8794144,1.364804018,1,60,1
21,120,103.8624465,1.433733921,1,65,1
22,128,103.8764832,1.370034797,0,31,1
23,128,103.8414279,1.443225525,0,68,1
24,139,103.9097739,1.416494608,1,12,1
25,144,103.8732414,1.344061692,1,79,1
26,165,103.8822425,1.34917278,0,72,1
27,196,103.834815,1.380863417,0,45,1
28,197,103.8495787,1.36510601,0,20,1
29,203,103.8766936,1.390837041,1,37,1
30,242,103.8472867,1.432758345,1,29,1
31,247,103.8973126,1.364622675,0,54,1
32,267,103.8347104,1.370459068,0,26,1
33,278,103.844296,1.448346259,0,27,1
34,280,103.9095594,1.395697479,0,16,1
35,299,103.8794144,1.364804018,0,74,1
36,314,103.8386093,1.458863502,1,35,1
37,375,103.9097739,1.416494608,0,194,1
38,389,103.8973126,1.364622675,1,71,1
39,405,103.8082189,1.407153918,1,18,1
40,405,103.8383889,1.438055393,0,93,1
41,416,103.83535,1.432885025,0,61,1
42,422,103.8149838,1.468727447,0,26,1
43,454,103.8915565,1.385483084,0,28,1
44,456,103.7929246,1.370882736,0,32,1
45,465,103.8912432,1.354283147,0,55,1
46,511,103.8351664,1.463137894,0,26,1
47,521,103.8442482,1.427588214,0,231,1
48,561,103.8766936,1.390837041,0,37,1
49,563,103.8555464,1.365045636,1,19,1
50,573,103.9066301,1.400927816,0,53,1
51,610,103.832797,1.405123927,0,22,1
52,612,103.8473961,1.443161719,0,18,1
53,649,103.8733442,1.354463071,1,30,1
54,659,103.8764832,1.370034797,0,117,1
55,670,103.8823457,1.359573463,0,119,1
56,670,103.820592,1.448651464,1,60,1
57,687,103.8677963,1.396130289,0,69,1
58,704,103.805723,1.454014675,1,25,1
59,713,103.8624465,1.433733921,0,74,1
60,728,103.8351664,1.463137894,0,25,1
61,739,103.8556507,1.375448378,0,79,1
62,749,103.9125953,1.400865711,1,12,1
63,768,103.8618291,1.396192069,0,34,1
64,777,103.8377468,1.375630844,0,154,1
65,791,103.8347104,1.370459068,0,38,1
66,793,103.844296,1.448346259,1,56,1
67,799,103.8914513,1.375083114,0,95,1
68,801,103.8885208,1.380313671,0,57,1
69,826,103.8590991,1.432722684,0,88,1
70,848,103.8293813,1.432948345,0,35,1
71,850,103.8851743,1.343942677,1,45,2
72,851,103.9182802,1.400789327,0,41,1
73,854,103.8495787,1.36510601,1,43,1
74,861,103.8888534,1.400825764,0,192,1
75,901,103.8297118,1.46416258,0,11,1
76,905,103.8471781,1.422354962,0,40,1
77,920,103.8168038,1.370640714,0,81,1
78,927,103.8990374,1.41561029,1,9,1
79,943,103.8885208,1.380313671,1,34,1
80,944,103.9033827,1.37496126,1,75,1
81,969,103.8354594,1.443289319,1,41,1
82,979,103.811365,1.422732087,0,36,1
83,985,103.8027934,1.459250168,0,23,1
84,987,103.8606403,1.436494178,0,24,1
85,992,103.8916625,1.395883044,0,48,1
86,999,103.8677963,1.396130289,0,31,1
87,999,103.903488,1.385360308,0,161,1
88,1000,103.8081124,1.396747522,1,25,1
89,1026,103.8974171,1.375022193,0,82,1
90,1073,103.8823457,1.359573463,1,96,1
91,1073,103.9125953,1.400865711,0,34,1
92,1108,103.8913468,1.364683135,1,43,1
93,1113,103.8914513,1.375083114,0,30,1
94,1127,103.8471781,1.422354962,1,236,1
95,1133,103.8555464,1.365045636,0,51,1
96,1144,103.9151647,1.405558976,1,59,1
97,1157,103.8912432,1.354283147,0,104,1
98,1158,103.834815,1.380863417,0,119,1
99,1175,103.8116929,1.453950487,1,20,1
100,1176,103.8141885,1.407091791,0,25,1
101,1182,103.8497988,1.417252421,0,24,1
102,1184,103.8235216,1.443416867,0,64,1
103,1197,103.8347104,1.370459068,0,74,1
104,1200,103.8881062,1.338712798,0,77,1
105,1211,103.8290637,1.401504649,0,22,1
106,1212,103.8058339,1.46442125,0,32,1
107,1213,103.8856964,1.395944874,1,76,1
108,1225,103.8200513,1.396624176,1,25,1
109,1227,103.9125953,1.400865711,1,56,1
110,1243,103.8173345,1.422669265,0,54,1
111,1254,103.8766936,1.390837041,1,81,1
112,1259,103.8382799,1.427651324,0,83,1
113,1261,103.8795188,1.375204918,0,51,1
114,1274,103.8407834,1.380802384,0,72,1
115,1281,103.8406787,1.370398495,0,23,1
116,1290,103.8555464,1.365045636,0,56,1
117,1290,103.8414279,1.443225525,0,39,1
118,1307,103.8973126,1.364622675,0,34,1
119,1316,103.7986882,1.350008009,0,44,1
120,1334,103.8382799,1.427651324,0,34,1
121,1337,103.8354594,1.443289319,0,66,1
122,1341,103.8334884,1.401505638,0,18,1
123,1343,103.8406787,1.370398495,1,49,1
124,1343,103.84414,1.417184596,0,33,1
125,1348,103.9117441,1.411119076,1,15,1
126,1349,103.8495787,1.36510601,0,29,2
127,1352,103.8583751,1.349411659,0,41,1
128,1356,103.8351664,1.463137894,0,25,1
129,1356,103.8528248,1.391083239,1,12,2
130,1370,103.8704125,1.359693848,0,68,1
131,1370,103.8114735,1.43313823,0,11,1
132,1379,103.8913468,1.364683135,0,31,1
133,1385,103.8914513,1.375083114,0,61,1
134,1392,103.8082189,1.407153918,0,44,1
135,1402,103.8351664,1.463137894,1,22,1
136,1403,103.8618291,1.396192069,1,28,1
137,1404,103.8882087,1.34911303,1,13,1
138,1406,103.8466468,1.37033791,0,68,1
139,1406,103.8854852,1.375144022,0,67,1
140,1412,103.9065236,1.390529012,0,55,1
141,1427,103.834815,1.380863417,0,32,1
142,1434,103.8736573,1.385667154,0,59,1
143,1434,103.9125953,1.400865711,0,40,1
